event,train_step,train_loss,learning_rate,gradient_norm,step_time_seconds,tokens_per_second,tokens_seen,elapsed_hours,estimated_training_cost,validation_loss,hellaswag_accuracy,hellaswag_correct,hellaswag_total,sample_prompt,generated_continuation
train,14160,3.2363319396972656,0.00014997202203371733,0.30573156476020813,1.7509051369852386,299438.26705696626,7423918080,6.984416508301939,,,,,,,
train,14170,3.104442596435547,0.0001496279374611595,0.270894318819046,1.7507039979973342,299472.6696230452,7429160960,6.989276674993606,,,,,,,
train,14180,3.0820531845092773,0.00014928438111266266,0.27356263995170593,1.7514915309729986,299338.01604438503,7434403840,6.994139729776111,,,,,,,
train,14190,3.1152005195617676,0.0001489413539943401,0.2885496914386749,1.7522876840084791,299202.0116244012,7439646720,6.999002055998329,,,,,,,
train,14200,3.088674783706665,0.00014859885711075542,0.2932260036468506,1.7504727159976028,299512.2375850376,7444889600,7.003867045628609,,,,,,,
train,14210,3.12009596824646,0.00014825689146491907,0.26854923367500305,1.7477958509989548,299970.960395828,7450132480,7.008727529012499,,,,,,,
train,14220,3.0629689693450928,0.00014791545805828595,0.2651748061180115,1.7493566689954605,299703.31910705427,7455375360,7.013588174303052,,,,,,,
train,14230,3.0640289783477783,0.00014757455789075224,0.26771190762519836,1.7455083069799002,300364.0818571236,7460618240,7.018438614712779,,,,,,,
train,14240,3.189091920852661,0.00014723419196065274,0.293761670589447,1.7469645510136615,300113.7027627643,7465861120,7.0232888901975015,,,,,,,
train,14250,3.172380208969116,0.00014689436126475727,0.2621646523475647,1.751258646021597,299377.82245417923,7471104000,7.028138673201385,,,,,,,
validation,14250,,,,,,,,,3.0734121799468994,,,,,
train,14260,3.077969551086426,0.00014655506679826848,0.2584211528301239,1.801315318007255,291058.4253399928,7476346880,7.0333432857675025,,,,,,,
train,14270,3.198306083679199,0.0001462163095548188,0.3135671317577362,1.7341322109859902,302334.5029165343,7481589760,7.038256395467777,,,,,,,
train,14280,3.104008197784424,0.00014587809052646724,0.27579203248023987,1.749398066982394,299696.2268881234,7486832640,7.043104403000276,,,,,,,
train,14290,3.0632176399230957,0.00014554041070369639,0.25431516766548157,1.733024179993663,302527.8043159889,7492075520,7.047930058552495,,,,,,,
train,14300,3.0980472564697266,0.00014520327107541006,0.24944445490837097,1.705992384988349,307321.41867302684,7497318400,7.0527150125488856,,,,,,,
train,14310,3.1309475898742676,0.00014486667262893013,0.27869758009910583,1.7079633369867224,306966.77653805853,7502561280,7.057586624161947,,,,,,,
train,14320,3.10908842086792,0.00014453061634999359,0.25386956334114075,1.7080316740029957,306954.4950365367,7507804160,7.062335259073888,,,,,,,
train,14330,3.0493452548980713,0.0001441951032227493,0.25759372115135193,1.7080528810038231,306950.6839225468,7513047040,7.067082647511941,,,,,,,
train,14340,3.0798580646514893,0.00014386013422975586,0.29733237624168396,1.7085323699866422,306864.54012229166,7518289920,7.0718303913961105,,,,,,,
train,14350,3.080798625946045,0.00014352571035197844,0.2706620991230011,1.7485149069980253,299847.60089928826,7523532800,7.076677658381111,,,,,,,
train,14360,3.1159543991088867,0.00014319183256878562,0.2650797963142395,1.74529078300111,300401.5176763049,7528775680,7.081534710086667,,,,,,,
train,14370,3.0428316593170166,0.00014285850185794655,0.2624533474445343,1.7488702810078394,299786.6712549219,7534018560,7.086394204405555,,,,,,,
train,14380,3.041289806365967,0.0001425257191956288,0.2562393546104431,1.747313319996465,300053.7991669752,7539261440,7.091253614148607,,,,,,,
train,14390,3.109102725982666,0.00014219348555639445,0.25691646337509155,1.7488068789825775,299797.539854727,7544504320,7.096112252158054,,,,,,,
train,14400,3.0687944889068604,0.00014186180191319813,0.30085474252700806,1.7485117730102502,299848.138338458,7549747200,7.100969101533887,,,,,,,
train,14410,3.1129298210144043,0.00014153066923738337,0.2900344729423523,1.747222922014771,300069.32337828365,7554990080,7.105827288369999,,,,,,,
train,14420,3.0949156284332275,0.0001412000884986806,0.2562912404537201,1.748614929994801,299830.4492353607,7560232960,7.110685777312222,,,,,,,
train,14430,3.0704710483551025,0.0001408700606652037,0.2572910189628601,1.7484559440054,299857.71262783435,7565475840,7.115544524492499,,,,,,,
train,14440,3.0617501735687256,0.0001405405867034474,0.2532862424850464,1.7479989470157307,299936.10745309095,7570718720,7.120402053013054,,,,,,,
train,14450,3.092695713043213,0.0001402116675782843,0.3368724286556244,1.747691346972715,299988.89730051695,7575961600,7.125238626617501,,,,,,,
train,14460,3.1013174057006836,0.00013988330425296222,0.31001123785972595,1.7505585170001723,299497.55744151934,7581204480,7.130104004958889,,,,,,,
train,14470,3.030805826187134,0.00013955549768910139,0.2506837844848633,1.7478090240038,299968.69955447724,7586447360,7.134962721317497,,,,,,,
train,14480,3.0890393257141113,0.00013922824884669136,0.30334392189979553,1.7455902669753414,300349.9789835883,7591690240,7.1398203869083305,,,,,,,
train,14490,3.1462349891662598,0.00013890155868408855,0.28363972902297974,1.747541190998163,300014.6735886302,7596933120,7.144674604712773,,,,,,,
train,14500,3.081003427505493,0.00013857542815801321,0.28844019770622253,1.744853909010999,300476.73177244497,7602176000,7.149687427416946,,,,,,,
